"g031_case" "g032_case" "g033_case" "g034_cont" "g035_cont" "g036_cont"
"ENSG00000233215" 0 0 0 0 0 0
"ENSG00000233236" 0 0 0 0 0 0
"ENSG00000233300" 0 0 0 0 0 0
"ENSG00000233316" 0 0 0 0 0 0
"ENSG00000233393" 0 1 0 0 1 1
"ENSG00000233442" 0 0 0 0 0 0
"ENSG00000233480" 0 0 0 0 0 0
"ENSG00000233640" 0 0 0 0 0 0
"ENSG00000233676" 0 0 0 0 0 0
"ENSG00000233754" 0 0 0 0 0 0
"ENSG00000233756" 0 0 0 0 0 0
"ENSG00000233767" 0 0 0 0 0 0
"ENSG00000233783" 18 16 14 31 23 22
"ENSG00000233818" 0 0 0 1 1 1
"ENSG00000233922" 0 0 0 0 0 0
"ENSG00000233956" 0 1 1 0 0 0
"ENSG00000233997" 0 0 0 0 0 0
"ENSG00000234008" 0 0 0 0 0 0
"ENSG00000234030" 0 0 0 0 0 0
"ENSG00000234034" 0 0 0 0 0 0
"ENSG00000234035" 0 0 0 0 0 0
"ENSG00000234052" 0 0 0 0 0 0
"ENSG00000234083" 0 0 0 0 0 0
"ENSG00000234107" 0 0 0 0 0 0
"ENSG00000234159" 0 0 0 0 1 2
"ENSG00000234289" 0 0 0 0 0 0
"ENSG00000234293" 0 0 0 0 0 0
"ENSG00000234340" 0 0 0 0 0 0
"ENSG00000234380" 0 0 0 0 0 0
"ENSG00000234439" 0 0 0 0 0 0
"ENSG00000234509" 0 0 0 0 0 0
"ENSG00000234538" 0 0 0 0 0 0
"ENSG00000234643" 0 0 0 0 0 0
"ENSG00000234703" 0 0 0 0 0 0
"ENSG00000234730" 0 0 0 0 0 0
"ENSG00000234880" 0 0 0 0 0 0
"ENSG00000234883" 0 0 0 0 0 0
"ENSG00000235012" 0 0 0 0 0 0
"ENSG00000235023" 0 0 0 0 0 0
"ENSG00000235123" 1 1 0 0 1 1
"ENSG00000235277" 0 0 0 0 0 0
"ENSG00000235312" 0 0 0 0 0 0
"ENSG00000235374" 0 0 0 0 0 0
"ENSG00000235476" 0 0 0 0 0 0
"ENSG00000235514" 0 0 0 0 0 0
"ENSG00000235564" 0 0 0 0 0 0
"ENSG00000235609" 0 0 0 0 0 0
"ENSG00000235701" 0 0 0 0 0 0
"ENSG00000235772" 1 0 0 1 0 1
"ENSG00000235808" 0 0 0 0 0 0
"ENSG00000235878" 0 0 0 0 0 0
"ENSG00000235888" 0 0 0 0 0 0
"ENSG00000235890" 0 0 0 1 0 0
"ENSG00000235965" 0 0 0 0 0 0
"ENSG00000236056" 0 0 0 0 0 0
"ENSG00000236119" 0 0 1 1 0 0
"ENSG00000236332" 0 0 0 0 0 0
"ENSG00000236382" 0 0 0 0 0 1
"ENSG00000236384" 0 1 1 1 2 1
"ENSG00000236400" 0 0 0 0 0 0
"ENSG00000236471" 0 0 0 0 0 0
"ENSG00000236519" 0 0 0 0 0 0
"ENSG00000236532" 0 0 0 0 0 0
"ENSG00000236545" 0 1 0 3 1 4
"ENSG00000236612" 0 0 0 0 0 0
"ENSG00000236663" 0 0 0 0 0 0
"ENSG00000236677" 0 0 0 0 0 0
"ENSG00000236830" 0 0 0 1 0 0
"ENSG00000236883" 0 0 1 0 0 0
"ENSG00000237138" 0 0 0 0 0 0
"ENSG00000237202" 0 0 0 0 0 0
"ENSG00000237232" 0 0 0 0 0 1
"ENSG00000237325" 0 0 0 0 0 1
"ENSG00000237338" 0 0 0 0 0 0
"ENSG00000237373" 0 0 0 1 1 0
"ENSG00000237444" 0 0 0 0 0 0
"ENSG00000237484" 0 0 0 0 0 0
"ENSG00000237527" 0 0 0 0 0 0
"ENSG00000237569" 0 0 0 0 0 0
"ENSG00000237594" 0 0 0 0 0 0
"ENSG00000237604" 0 0 0 0 0 0
"ENSG00000237609" 0 0 0 0 0 0
"ENSG00000237646" 1 0 0 2 0 1
"ENSG00000237664" 0 0 0 0 0 0
"ENSG00000237721" 0 0 0 0 0 0
"ENSG00000237731" 3 2 3 0 0 0
"ENSG00000237735" 0 0 0 0 0 0
"ENSG00000237841" 0 0 0 0 0 0
"ENSG00000237864" 0 0 0 0 0 0
"ENSG00000237945" 1 1 0 1 0 2
"ENSG00000237989" 0 0 0 0 0 0
"ENSG00000238141" 0 0 0 0 0 0
"ENSG00000238197" 0 0 0 1 0 1
"ENSG00000238220" 0 0 0 0 0 0
"ENSG00000238257" 0 0 0 0 0 0
"ENSG00000238265" 0 0 0 0 0 0
"ENSG00000238314" 0 0 0 0 0 0
"ENSG00000238390" 0 0 0 1 1 1
"ENSG00000238411" 0 0 0 0 0 0
"ENSG00000238556" 0 0 0 0 0 0
"ENSG00000238581" 0 0 0 0 0 0
"ENSG00000238591" 0 0 0 0 0 0
"ENSG00000238627" 0 0 0 0 0 0
